sex,aMin,aMax,mean,sd,upper_cutoff,lower_cutoff,p40_u,p90,p100,p70,p40,p20,p0
girls, 11.0, 11.5,9.41,1.25,10.66,8.16,>=11.66,11.66 - 10.66,10.66 - 8.16,8.16 - 7.16,7.16 - 6.16,6.16 - 5.16,<=5.16
girls, 11.5, 12.0,9.34,1.33,10.67,8.01,>=11.67,11.67 - 10.67,10.67 - 8.01,8.01 - 7.01,7.01 - 6.01,6.01 - 5.01,<=5.01
girls, 12.0, 12.5,8.97,1.65,10.62,7.32,>=11.62,11.62 - 10.62,10.62 - 7.32,7.32 - 6.32,6.32 - 5.32,5.32 - 4.32,<=4.32
girls, 12.5, 13.0,9.04,1.61,10.65,7.43,>=11.65,11.65 - 10.65,10.65 - 7.43,7.43 - 6.43,6.43 - 5.43,5.43 - 4.43,<=4.43
girls, 13.0, 13.5,8.79,1.31,10.10,7.48,>=11.1,11.1 - 10.1,10.1 - 7.48,7.48 - 6.48,6.48 - 5.48,5.48 - 4.48,<=4.48
girls, 13.5, 14.0,8.74,1.35,10.09,7.39,>=11.09,11.09 - 10.09,10.09 - 7.39,7.39 - 6.39,6.39 - 5.39,5.39 - 4.39,<=4.39
girls, 14.0, 14.5,8.48,1.53,10.01,6.95,>=11.01,11.01 - 10.01,10.01 - 6.95,6.95 - 5.95,5.95 - 4.95,4.95 - 3.95,<=3.95
girls, 14.5, 15.0,8.15,1.24,9.39,6.91,>=10.39,10.39 - 9.39,9.39 - 6.91,6.91 - 5.91,5.91 - 4.91,4.91 - 3.91,<=3.91
girls, 15.0, 15.5,8.23,1.38,9.61,6.85,>=10.61,10.61 - 9.61,9.61 - 6.85,6.85 - 5.85,5.85 - 4.85,4.85 - 3.85,<=3.85
girls, 15.5, 16.0,7.74,1.52,9.26,6.22,>=10.26,10.26 - 9.26,9.26 - 6.22,6.22 - 5.22,5.22 - 4.22,4.22 - 3.22,<=3.22
girls, 16.0, 16.5,7.86,1.42,9.28,6.44,>=10.28,10.28 - 9.28,9.28 - 6.44,6.44 - 5.44,5.44 - 4.44,4.44 - 3.44,<=3.44
girls, 16.5, 17.0,7.77,1.39,9.16,6.38,>=10.16,10.16 - 9.16,9.16 - 6.38,6.38 - 5.38,5.38 - 4.38,4.38 - 3.38,<=3.38
girls, 17.0, 17.5,7.61,1.57,9.18,6.04,>=10.18,10.18 - 9.18,9.18 - 6.04,6.04 - 5.04,5.04 - 4.04,4.04 - 3.04,<=3.04
girls, 17.5, 18.0,7.63,1.44,9.07,6.19,>=10.07,10.07 - 9.07,9.07 - 6.19,6.19 - 5.19,5.19 - 4.19,4.19 - 3.19,<=3.19
