,Sex,Age,Percentile rank,Grip strength (kg),Source table
137,Boys,13,90%,39.3,Table 4
138,Boys,14,90%,43.7,Table 4
139,Boys,15,90%,48.5,Table 4
140,Boys,16,90%,50.6,Table 4
141,Boys,17,90%,52.9,Table 4
142,Boys,18,90%,52.8,Table 4
143,Boys,6,95%,14.9,Table 4
144,Boys,7,95%,17.9,Table 4
145,Boys,8,95%,19.4,Table 4
146,Boys,9,95%,12.5,Table 4
147,Boys,10,95%,26.2,Table 4
148,Boys,11,95%,29.8,Table 4
149,Boys,12,95%,35.3,Table 4
150,Boys,13,95%,43.3,Table 4
151,Boys,14,95%,47.5,Table 4
152,Boys,15,95%,50.4,Table 4
153,Boys,16,95%,56.1,Table 4
154,Boys,17,95%,56.2,Table 4
155,Boys,18,95%,55.7,Table 4
156,Boys,6,>95%,19.7,Table 4
157,Boys,7,>95%,25.5,Table 4
158,Boys,8,>95%,25.4,Table 4
159,Boys,9,>95%,27.1,Table 4
160,Boys,10,>95%,29.1,Table 4
161,Boys,11,>95%,35.4,Table 4
162,Boys,12,>95%,45.2,Table 4
163,Boys,13,>95%,53.5,Table 4
164,Boys,14,>95%,57.3,Table 4
165,Boys,15,>95%,58.8,Table 4
166,Boys,16,>95%,65.0,Table 4
167,Boys,17,>95%,69.1,Table 4
168,Boys,18,>95%,68.8,Table 4
169,Girls,6,<5%,6.2,Table 5
170,Girls,7,<5%,6.9,Table 5
171,Girls,8,<5%,4.0,Table 5
172,Girls,9,<5%,8.0,Table 5
173,Girls,10,<5%,9.4,Table 5
174,Girls,11,<5%,8.3,Table 5
175,Girls,12,<5%,13.0,Table 5
176,Girls,13,<5%,12.1,Table 5
177,Girls,14,<5%,17.1,Table 5
178,Girls,15,<5%,18.4,Table 5
179,Girls,16,<5%,16.9,Table 5
180,Girls,17,<5%,12.3,Table 5
181,Girls,18,<5%,19.5,Table 5
182,Girls,6,5%,7.1,Table 5
183,Girls,7,5%,8.5,Table 5
184,Girls,8,5%,9.2,Table 5
185,Girls,9,5%,11.0,Table 5
186,Girls,10,5%,12.4,Table 5
187,Girls,11,5%,13.9,Table 5
188,Girls,12,5%,16.5,Table 5
189,Girls,13,5%,17.9,Table 5
190,Girls,14,5%,20.1,Table 5
191,Girls,15,5%,21.0,Table 5
192,Girls,16,5%,20.9,Table 5
193,Girls,17,5%,20.1,Table 5
194,Girls,18,5%,21.6,Table 5
195,Girls,6,10%,7.7,Table 5
196,Girls,7,10%,9.0,Table 5
197,Girls,8,10%,10.0,Table 5
198,Girls,9,10%,11.7,Table 5
199,Girls,10,10%,14.1,Table 5
200,Girls,11,10%,15.1,Table 5
201,Girls,12,10%,17.7,Table 5
202,Girls,13,10%,18.8,Table 5
203,Girls,14,10%,21.4,Table 5
204,Girls,15,10%,22.8,Table 5
205,Girls,16,10%,22.9,Table 5
206,Girls,17,10%,22.0,Table 5
207,Girls,18,10%,22.6,Table 5
208,Girls,6,20%,8.4,Table 5
209,Girls,7,20%,9.7,Table 5
210,Girls,8,20%,11.2,Table 5
211,Girls,9,20%,12.8,Table 5
212,Girls,10,20%,15.4,Table 5
213,Girls,11,20%,17.3,Table 5
214,Girls,12,20%,19.6,Table 5
215,Girls,13,20%,21.0,Table 5
216,Girls,14,20%,23.3,Table 5
217,Girls,15,20%,24.6,Table 5
218,Girls,16,20%,24.7,Table 5
219,Girls,17,20%,24.4,Table 5
220,Girls,18,20%,24.5,Table 5
221,Girls,6,30%,9.1,Table 5
222,Girls,7,30%,10.4,Table 5
223,Girls,8,30%,12.0,Table 5
224,Girls,9,30%,13.4,Table 5
225,Girls,10,30%,16.2,Table 5
226,Girls,11,30%,18.3,Table 5
227,Girls,12,30%,21.4,Table 5
228,Girls,13,30%,22.1,Table 5
229,Girls,14,30%,24.6,Table 5
230,Girls,15,30%,26.0,Table 5
231,Girls,16,30%,26.4,Table 5
232,Girls,17,30%,26.2,Table 5
233,Girls,18,30%,26.1,Table 5
234,Girls,6,40%,9.7,Table 5
235,Girls,7,40%,11.0,Table 5
236,Girls,8,40%,12.7,Table 5
237,Girls,9,40%,14.5,Table 5
238,Girls,10,40%,17.0,Table 5
239,Girls,11,40%,19.4,Table 5
240,Girls,12,40%,22.6,Table 5
241,Girls,13,40%,23.9,Table 5
242,Girls,14,40%,25.5,Table 5
243,Girls,15,40%,26.8,Table 5
244,Girls,16,40%,27.3,Table 5
245,Girls,17,40%,27.6,Table 5
246,Girls,18,40%,27.4,Table 5
247,Girls,6,50%,10.3,Table 5
248,Girls,7,50%,11.6,Table 5
249,Girls,8,50%,13.3,Table 5
250,Girls,9,50%,15.3,Table 5
251,Girls,10,50%,17.9,Table 5
252,Girls,11,50%,20.9,Table 5
253,Girls,12,50%,23.9,Table 5
254,Girls,13,50%,25.3,Table 5
255,Girls,14,50%,26.7,Table 5
256,Girls,15,50%,27.6,Table 5
257,Girls,16,50%,28.2,Table 5
258,Girls,17,50%,28.4,Table 5
259,Girls,18,50%,28.8,Table 5
260,Girls,6,60%,10.9,Table 5
261,Girls,7,60%,12.3,Table 5
262,Girls,8,60%,14.0,Table 5
263,Girls,9,60%,15.9,Table 5
264,Girls,10,60%,18.5,Table 5
265,Girls,11,60%,21.9,Table 5
266,Girls,12,60%,25.6,Table 5
267,Girls,13,60%,26.8,Table 5
268,Girls,14,60%,28.1,Table 5
269,Girls,15,60%,28.6,Table 5
270,Girls,16,60%,29.3,Table 5
271,Girls,17,60%,29.8,Table 5
272,Girls,18,60%,30.0,Table 5
273,Girls,6,70%,11.4,Table 5
274,Girls,7,70%,13.0,Table 5
275,Girls,8,70%,15.1,Table 5
276,Girls,9,70%,17.1,Table 5
277,Girls,10,70%,19.6,Table 5
278,Girls,11,70%,23.2,Table 5
279,Girls,12,70%,27.0,Table 5
280,Girls,13,70%,28.4,Table 5
281,Girls,14,70%,29.9,Table 5
282,Girls,15,70%,30.1,Table 5
283,Girls,16,70%,30.2,Table 5
284,Girls,17,70%,31.5,Table 5
285,Girls,18,70%,31.7,Table 5
286,Girls,6,80%,12.2,Table 5
287,Girls,7,80%,13.8,Table 5
288,Girls,8,80%,16.1,Table 5
289,Girls,9,80%,18.2,Table 5
290,Girls,10,80%,21.2,Table 5
291,Girls,11,80%,24.9,Table 5
292,Girls,12,80%,28.5,Table 5
293,Girls,13,80%,31.3,Table 5
294,Girls,14,80%,31.2,Table 5
295,Girls,15,80%,31.7,Table 5
296,Girls,16,80%,32.4,Table 5
297,Girls,17,80%,33.3,Table 5
298,Girls,18,80%,34.2,Table 5
299,Girls,6,90%,13.3,Table 5
300,Girls,7,90%,14.8,Table 5
301,Girls,8,90%,17.8,Table 5
302,Girls,9,90%,20.3,Table 5
303,Girls,10,90%,22.5,Table 5
304,Girls,11,90%,26.9,Table 5
305,Girls,12,90%,30.6,Table 5
306,Girls,13,90%,34.4,Table 5
307,Girls,14,90%,34.3,Table 5
308,Girls,15,90%,35.3,Table 5
309,Girls,16,90%,34.0,Table 5
310,Girls,17,90%,35.9,Table 5
311,Girls,18,90%,36.2,Table 5
312,Girls,6,95%,14.6,Table 5
313,Girls,7,95%,15.8,Table 5
314,Girls,8,95%,19.1,Table 5
315,Girls,9,95%,23.7,Table 5
316,Girls,10,95%,23.7,Table 5
317,Girls,11,95%,28.8,Table 5
318,Girls,12,95%,32.7,Table 5
319,Girls,13,95%,35.1,Table 5
320,Girls,14,95%,35.8,Table 5
321,Girls,15,95%,38.0,Table 5
322,Girls,16,95%,37.8,Table 5
323,Girls,17,95%,39.1,Table 5
324,Girls,18,95%,39.4,Table 5
325,Girls,6,>95%,17.4,Table 5
326,Girls,7,>95%,19.4,Table 5
327,Girls,8,>95%,25.5,Table 5
328,Girls,9,>95%,29.6,Table 5
329,Girls,10,>95%,33.7,Table 5
330,Girls,11,>95%,34.9,Table 5
331,Girls,12,>95%,37.2,Table 5
332,Girls,13,>95%,51.3,Table 5
333,Girls,14,>95%,39.7,Table 5
334,Girls,15,>95%,41.3,Table 5
335,Girls,16,>95%,46.4,Table 5
336,Girls,17,>95%,45.1,Table 5
337,Girls,18,>95%,47.4,Table 5
