sex,Age,Height,p50,p75,p90,p95
male,17.0,190.0,0.55038,0.58471,0.61743,0.63778
male,17.0,170.0,0.53511,0.56867,0.60066,0.62057
male,17.0,175.0,0.5389,0.5727,0.60492,0.62497
male,17.0,180.0,0.54272,0.57676,0.60921,0.6294
male,17.0,185.0,0.54657,0.58085,0.61352,0.63386
male,17.0,190.0,0.55044,0.58497,0.61787,0.63835
male,18.0,170.0,0.53532,0.56907,0.60126,0.62129
male,18.0,175.0,0.53911,0.57311,0.60552,0.62569
male,18.0,180.0,0.54293,0.57717,0.60981,0.63013
male,18.0,185.0,0.54678,0.58126,0.61413,0.63459
male,18.0,190.0,0.55065,0.58538,0.61848,0.63909
male,18.0,170.0,0.53567,0.56963,0.60201,0.62218
male,18.0,175.0,0.53946,0.57366,0.60628,0.62659
male,18.0,180.0,0.54329,0.57773,0.61058,0.63103
male,18.0,185.0,0.54714,0.58182,0.6149,0.6355
