Height (cm),L,M,S
120,1.274,0.369,0.119
125,1.234,0.372,0.119
130,1.188,0.375,0.119
135,1.133,0.377,0.119
140,1.076,0.379,0.12
145,1.02,0.381,0.12
150,0.966,0.384,0.121
155,0.908,0.386,0.121
160,0.84,0.389,0.121
165,0.774,0.392,0.12
170,0.714,0.395,0.119
175,0.67,0.398,0.118
180,0.65,0.401,0.117
185,0.662,0.403,0.115
190,0.694,0.405,0.114
