sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
girls,diastolic,15.5,157,67.8,72.4,76.6,79,80.6,83.7,88.7
girls,diastolic,15.5,161,68.1,72.8,76.9,79.4,81,84.1,89.1
girls,diastolic,15.5,165,68.5,73.1,77.3,79.8,81.4,84.5,89.5
girls,diastolic,15.5,169,68.8,73.5,77.7,80.2,81.8,84.9,89.9
girls,diastolic,15.5,173,69.1,73.8,78,80.6,82.2,85.3,90.3
girls,diastolic,15.5,176,69.3,74,78.2,80.8,82.4,85.5,90.5
girls,diastolic,16.5,155,68.7,73.4,77.6,80.1,81.8,84.9,89.9
girls,diastolic,16.5,157,68.8,73.6,77.8,80.3,82,85.1,90.1
girls,diastolic,16.5,161,69.2,73.9,78.1,80.7,82.3,85.5,90.5
girls,diastolic,16.5,165,69.5,74.3,78.5,81.1,82.7,85.9,90.9
girls,diastolic,16.5,170,69.8,74.6,78.9,81.5,83.2,86.3,91.3
girls,diastolic,16.5,174,70.2,75,79.3,81.8,83.5,86.7,91.7
girls,diastolic,16.5,176,70.3,75.1,79.5,82.1,83.7,86.9,91.9
girls,diastolic,17.5,155,69.7,74.6,78.9,81.5,83.2,86.4,91.4
girls,diastolic,17.5,157,69.9,74.7,79.1,81.7,83.4,86.6,91.6
girls,diastolic,17.5,161,70.2,75.1,79.5,82.1,83.8,87,92
girls,diastolic,17.5,166,70.6,75.4,79.8,82.5,84.2,87.4,92.4
girls,diastolic,17.5,170,70.9,75.8,80.2,82.9,84.6,87.8,92.8
girls,diastolic,17.5,174,71.2,76.1,80.6,83.2,85,88.2,93.2
girls,diastolic,17.5,176,71.4,76.3,80.8,83.4,85.2,88.4,93.4
