sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
boys,systolic,16.5,173,119.1,126.1,133,137.4,140.3,146.2,151.2
boys,systolic,16.5,178,120.4,127.5,134.5,138.9,141.9,147.8,152.8
boys,systolic,16.5,182,121.7,128.9,135.9,140.4,143.4,149.4,154.4
boys,systolic,16.5,186,122.8,130.1,137.2,141.7,144.7,150.8,155.8
boys,systolic,16.5,189,123.5,130.8,137.9,142.5,145.5,151.6,156.6
boys,systolic,17.5,167,119.4,126.7,133.7,138.3,141.3,147.4,152.4
boys,systolic,17.5,170,120.2,127.5,134.6,139.1,142.2,148.3,153.3
boys,systolic,17.5,174,121.4,128.8,136,140.6,143.7,149.8,154.8
boys,systolic,17.5,179,122.8,130.2,137.5,142.1,145.2,151.4,156.4
boys,systolic,17.5,183,124.1,131.6,138.9,143.6,146.8,153,158
boys,systolic,17.5,187,125.2,132.8,140.2,144.9,148.1,154.5,159.5
boys,systolic,17.5,189,125.9,133.5,141,145.7,148.9,155.3,160.3



boys,diastolic,5.5,107,58.9,63.3,67.3,69.7,71.2,74.1,79.1
boys,diastolic,5.5,109,59.1,63.5,67.5,69.9,71.4,74.3,79.3
boys,diastolic,5.5,111,59.4,63.9,67.9,70.3,71.8,74.8,79.8
boys,diastolic,5.5,115,59.8,64.2,68.3,70.7,72.2,75.2,80.2
boys,diastolic,5.5,118,60.1,64.6,68.7,71.1,72.7,75.6,80.6
boys,diastolic,5.5,121,60.4,65,69,71.5,73.1,76,81
boys,diastolic,5.5,123,60.6,65.2,69.3,71.7,73.3,76.3,81.3
boys,diastolic,6.5,113,59.6,63.9,67.9,70.2,71.7,74.6,79.6
boys,diastolic,6.5,115,59.8,64.1,68.1,70.4,72,74.9,79.9
boys,diastolic,6.5,118,60.1,64.5,68.4,70.8,72.4,75.3,80.3
boys,diastolic,6.5,121,60.4,64.9,68.9,71.2,72.8,75.7,80.7
boys,diastolic,6.5,125,60.8,65.2,69.3,71.7,73.2,76.2,81.2
boys,diastolic,6.5,128,61.1,65.6,69.6,72,73.6,76.6,81.6
boys,diastolic,6.5,130,61.3,65.8,69.8,72.3,73.8,76.8,81.8
boys,diastolic,7.5,119,60.3,64.7,68.6,70.9,72.4,75.3,80.3
boys,diastolic,7.5,121,60.5,64.9,68.8,71.1,72.6,75.5,80.5
boys,diastolic,7.5,124,60.8,65.2,69.1,71.5,73,75.9,80.9
boys,diastolic,7.5,128,61.2,65.6,69.5,71.9,73.5,76.4,81.4
boys,diastolic,7.5,131,61.5,66,69.9,72.3,73.9,76.8,81.8
boys,diastolic,7.5,135,61.9,66.3,70.3,72.7,74.3,77.2,82.2
boys,diastolic,7.5,137,62,66.5,70.5,72.9,74.5,77.4,82.4
boys,diastolic,8.5,124,61.1,65.4,69.4,71.7,73.2,76.1,81.1
boys,diastolic,8.5,126,61.3,65.6,69.6,71.9,73.4,76.3,81.3
boys,diastolic,8.5,130,61.6,66,69.9,72.3,73.8,76.7,81.7
boys,diastolic,8.5,134,62,66.4,70.3,72.7,74.2,77.2,82.2
boys,diastolic,8.5,138,62.3,66.8,70.7,73.1,74.7,77.6,82.6
boys,diastolic,8.5,141,62.6,67.1,71.1,73.5,75.1,78,83
boys,diastolic,8.5,143,62.8,67.3,71.3,73.7,75.3,78.2,83.2
boys,diastolic,9.5,129,61.9,66.3,70.3,72.6,74.1,77,82
boys,diastolic,9.5,131,62.1,66.5,70.5,72.8,74.4,77.3,82.3
boys,diastolic,9.5,135,62.5,66.9,70.8,73.2,74.7,77.7,82.7
boys,diastolic,9.5,139,62.8,67.2,71.2,73.6,75.2,78.1,83.1
boys,diastolic,9.5,143,63.2,67.6,71.6,74,75.6,78.5,83.5
boys,diastolic,9.5,147,63.5,68,72,74.4,76,78.9,83.9
boys,diastolic,9.5,149,63.7,68.2,72.2,74.6,76.2,79.2,84.2
boys,diastolic,10.5,133,62.8,67.3,71.3,73.7,75.2,78.1,83.1
boys,diastolic,10.5,136,63,67.5,71.5,73.9,75.4,78.4,83.4
boys,diastolic,10.5,140,63.4,67.8,71.8,74.3,75.8,78.8,83.8
boys,diastolic,10.5,144,63.7,68.2,72.2,74.7,76.2,79.2,84.2
boys,diastolic,10.5,149,64.1,68.6,72.7,75.1,76.7,79.6,84.6
boys,diastolic,10.5,153,64.4,68.9,73,75.5,77,80,85
boys,diastolic,10.5,155,64.6,69.1,73.2,75.7,77.3,80.3,85.3
boys,diastolic,11.5,137,63.8,68.3,72.4,74.8,76.4,79.4,84.4
boys,diastolic,11.5,140,64,68.5,72.6,75,76.6,79.6,84.6
boys,diastolic,11.5,144,64.3,68.9,73,75.4,77,80,85
boys,diastolic,11.5,149,64.7,69.2,73.4,75.8,77.4,80.4,85.4
boys,diastolic,11.5,154,65,69.6,73.8,76.2,77.8,80.9,85.9
boys,diastolic,11.5,159,65.3,70,74.1,76.6,78.2,81.3,86.3
boys,diastolic,11.5,162,65.5,70.2,74.3,76.8,78.5,81.5,86.5
boys,diastolic,12.5,142,64.8,69.4,73.6,76.1,77.7,80.7,85.7
boys,diastolic,12.5,145,65,69.6,73.8,76.3,77.9,80.9,85.9
boys,diastolic,12.5,150,65.3,70,74.2,76.7,78.3,81.3,86.3
boys,diastolic,12.5,155,65.7,70.4,74.6,77.1,78.7,81.8,86.8
boys,diastolic,12.5,161,66,70.7,75,77.5,79.1,82.2,87.2
boys,diastolic,12.5,166,66.4,71.1,75.3,77.9,79.5,82.6,87.6
boys,diastolic,12.5,169,66.6,71.3,75.5,78.1,79.7,82.9,87.9
boys,diastolic,13.5,149,65.9,70.6,74.8,77.4,79,82.1,87.1
boys,diastolic,13.5,152,66.1,70.8,75.1,77.6,79.3,82.4,87.4
boys,diastolic,13.5,157,66.4,71.2,75.4,78,79.6,82.8,87.8
boys,diastolic,13.5,163,66.8,71.5,75.8,78.4,80.1,83.2,88.2
boys,diastolic,13.5,169,67.1,71.9,76.2,78.8,80.5,83.7,88.7
boys,diastolic,13.5,174,67.4,72.3,76.6,79.2,80.9,84.1,89.1
boys,diastolic,13.5,177,67.6,72.5,76.8,79.4,81.1,84.3,89.3
boys,diastolic,14.5,157,67,71.8,76.2,78.8,80.5,83.6,88.6
boys,diastolic,14.5,160,67.2,72,76.4,79,80.7,83.9,88.9
boys,diastolic,14.5,165,67.5,72.4,76.8,79.4,81.1,84.3,89.3
boys,diastolic,14.5,170,67.9,72.8,77.2,79.8,81.5,84.7,89.7
boys,diastolic,14.5,176,68.2,73.1,77.6,80.2,81.9,85.2,90.2
boys,diastolic,14.5,181,68.6,73.5,77.9,80.6,82.3,85.6,90.6
boys,diastolic,14.5,184,68.8,73.7,78.1,80.8,82.5,85.8,90.8
boys,diastolic,15.5,163,68.2,73.1,77.6,80.2,81.9,85.2,90.2
boys,diastolic,15.5,165,68.4,73.3,77.8,80.4,82.2,85.4,90.4
